計測時刻,PM2.5(μg/㎥),PM10(PM2.5は除く)(μg/㎥),VOC(ppb),UV(Index),温度(℃),湿度(％),照度(lx),気圧(hPa)
2018/07/24 19:56,3,2,5,0,33.3,53.7,18,1006.0
2018/07/24 20:01,5,7,5,0,34.3,50.5,18,1006.1
2018/07/24 20:06,2,4,3,0,35.0,48.8,18,1006.1
2018/07/24 20:11,1,6,4,0,35.4,47.3,18,1006.1
2018/07/24 20:14,8,1,5,0,35.6,46.3,18,1006.1
2018/07/24 20:44,9,3,24,0,35.0,46.3,18,1006.6
2018/07/24 21:14,9,6,82,0,36.2,45.3,18,1006.7
2018/07/24 21:44,13,2,87,0,35.4,46.3,18,1006.9
2018/07/24 22:14,20,12,105,0,32.3,53.6,18,1006.8
2018/07/24 22:44,16,17,216,0,30.9,59.3,18,1006.9
2018/07/24 23:14,18,16,286,0,30.1,63.6,0,1006.9
2018/07/24 23:44,21,16,363,0,30.2,64.5,0,1006.9
2018/07/25 00:14,21,14,446,0,30.0,65.3,0,1006.8
2018/07/25 00:44,20,21,479,0,30.0,66.1,0,1006.5
2018/07/25 01:14,18,18,570,0,30.0,66.2,0,1006.6
2018/07/25 01:44,19,16,651,0,29.9,67.0,0,1006.7
2018/07/25 02:14,21,18,720,0,30.1,66.7,0,1006.8
2018/07/25 02:44,20,19,742,0,30.1,67.1,0,1007.0
2018/07/25 03:14,22,22,846,0,30.1,67.3,0,1007.0
2018/07/25 03:44,21,16,924,0,29.8,68.3,0,1007.2
2018/07/25 04:14,21,17,931,0,29.9,67.9,0,1007.2
2018/07/25 04:44,20,17,944,0,29.9,68.0,0,1007.4
2018/07/25 05:14,20,20,964,0,30.0,67.7,0,1007.5
2018/07/25 05:44,26,19,955,0,30.0,67.6,1,1007.8
2018/07/25 06:14,25,20,954,0,30.3,66.9,1,1008.0
2018/07/25 06:44,23,24,664,0,30.0,68.4,32,1008.1
2018/07/25 07:14,26,26,723,0,29.1,66.7,41,1008.2
2018/07/25 07:44,20,17,1000,0,29.6,65.7,10,1008.2
2018/07/25 08:14,21,19,1000,0,29.6,67.1,7,1008.4
2018/07/25 08:44,22,19,1000,0,30.1,66.3,12,1008.5
2018/07/25 09:14,20,16,765,0,30.1,67.1,12,1008.6
2018/07/25 09:44,22,17,631,0,30.4,66.8,16,1008.4
2018/07/25 10:14,20,16,529,0,30.7,66.3,22,1008.4
2018/07/25 10:44,19,19,464,0,30.7,66.3,13,1008.5
2018/07/25 11:14,23,19,438,0,30.9,65.9,14,1008.2
2018/07/25 11:44,22,18,415,0,31.0,65.8,16,1008.0
2018/07/25 12:14,21,24,386,0,31.2,65.6,12,1007.9
2018/07/25 12:44,23,19,386,0,31.3,65.4,11,1007.8
2018/07/25 13:14,22,25,382,0,31.4,65.4,11,1007.7
2018/07/25 13:44,21,22,382,0,31.3,65.5,11,1007.6
2018/07/25 14:14,23,23,389,0,31.6,64.9,10,1007.4
2018/07/25 14:44,21,22,400,0,31.6,64.6,9,1007.2
2018/07/25 15:14,24,22,411,0,31.8,64.3,7,1007.1
2018/07/25 15:44,21,20,400,0,31.7,64.2,7,1007.0
2018/07/25 16:14,23,20,424,0,31.9,63.5,7,1007.2
2018/07/25 16:44,25,21,436,0,31.8,63.5,6,1007.5
