word,taglist,start,end
1.5,[{'sub': {}}],121,124
0.5,[{'sub': {}}],126,129
6,[{'sub': {}}],134,135
1.5,[{'sub': {}}],280,283
0.5,[{'sub': {}}],285,288
6,[{'sub': {}}],293,294
G,[{'sub': {}}],389,390
C,[{'sub': {}}],606,607
g,[{'sub': {}}],660,661
M,[{'sub': {}}],721,722
g,[{'sub': {}}],863,864
1–3,"[{'xref': {'ref-type': 'bibr', 'rid': 'c1 c2 c3'}}, {'sup': {}}]",1580,1583
4,"[{'xref': {'ref-type': 'bibr', 'rid': 'c4'}}, {'sup': {}}]",1785,1786
2−x,[{'sub': {}}],2011,2014
x,[{'sub': {}}],2016,2017
6,[{'sub': {}}],2022,2023
5,"[{'xref': {'ref-type': 'bibr', 'rid': 'c5'}}, {'sup': {}}]",2122,2123
1.5,[{'sub': {}}],2293,2296
0.5,[{'sub': {}}],2298,2301
6,[{'sub': {}}],2306,2307
A,[{'sub': {}}],2355,2356
1,[{'sub': {}}],2419,2420
2,[{'sub': {}}],2423,2424
"6,7","[{'xref': {'ref-type': 'bibr', 'rid': 'c6 c7'}}, {'sup': {}}]",2426,2429
2−x,[{'sub': {}}],2451,2454
x,[{'sub': {}}],2456,2457
6,[{'sub': {}}],2462,2463
A,[{'sub': {}}],2511,2512
"8,9","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c9'}}, {'sup': {}}]",2605,2608
g,[{'sub': {}}],2712,2713
2g,[{'sub': {}}],2744,2746
10,"[{'xref': {'ref-type': 'bibr', 'rid': 'c10'}}, {'sup': {}}]",2828,2830
4,"[{'xref': {'ref-type': 'bibr', 'rid': 'c4'}}, {'sup': {}}]",3292,3293
11,"[{'xref': {'ref-type': 'bibr', 'rid': 'c11'}}, {'sup': {}}]",3466,3468
M,[{'sub': {}}],3785,3786
"12,13","[{'xref': {'ref-type': 'bibr', 'rid': 'c12 c13'}}, {'sup': {}}]",3853,3858
et al.,[{'italic': {}}],3958,3964
0.17,[{'sub': {}}],3983,3987
2,[{'sub': {}}],3989,3990
14,"[{'xref': {'ref-type': 'bibr', 'rid': 'c14'}}, {'sup': {}}]",4088,4090
M,[{'sub': {}}],4522,4523
FWHM,[{'sub': {}}],4557,4561
2,[{'sub': {}}],4749,4750
6,[{'sub': {}}],4755,4756
1.5,[{'sub': {}}],4760,4763
0.5,[{'sub': {}}],4765,4768
6,[{'sub': {}}],4773,4774
M,[{'sub': {}}],4963,4964
1.5,[{'sub': {}}],5062,5065
0.5,[{'sub': {}}],5067,5070
6,[{'sub': {}}],5075,5076
8,"[{'xref': {'ref-type': 'bibr', 'rid': 'c8'}}, {'sup': {}}]",5247,5248
K,[{'italic': {}}],5383,5384
α,"[{'italic': {}}, {'sub': {}}]",5384,5385
1(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f1'}}]",5998,6002
1,[{'sub': {}}],6355,6356
I,"[{'xref': {'ref-type': 'table', 'rid': 't1'}}]",6473,6474
"8,15","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}, {'sup': {}}]",6595,6599
16,"[{'xref': {'ref-type': 'bibr', 'rid': 'c16'}}, {'sup': {}}]",7066,7068
r,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",7074,7075
L,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7075,7076
a,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7076,7077
r,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",7079,7080
C,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7080,7081
a,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7081,7082
r,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",7084,7085
M,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7085,7086
n,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7086,7087
r,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",7089,7090
C,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7090,7091
o,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7091,7092
r,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",7098,7099
O,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",7099,7100
 ,"[{'mo': {}}, {'tag': 'mathML'}]",7100,7101
17,"[{'xref': {'ref-type': 'bibr', 'rid': 'c17'}}, {'sup': {}}]",7240,7242
t,[{'italic': {}}],7260,7261
6,[{'sub': {}}],7328,7329
6,[{'sub': {}}],7337,7338
1(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f1'}}]",7561,7565
6,[{'sub': {}}],7609,7610
6,[{'sub': {}}],7618,7619
2(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",7841,7845
C,[{'sub': {}}],7987,7988
g,[{'sub': {}}],8078,8079
CAFM,[{'sub': {}}],8159,8163
g,[{'sub': {}}],8269,8270
CAFM,[{'sub': {}}],8276,8280
PHS,[{'sub': {}}],8285,8288
8,"[{'xref': {'ref-type': 'bibr', 'rid': 'c8'}}, {'sup': {}}]",8422,8423
"8,15","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}, {'sup': {}}]",8496,8500
2(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",8540,8544
dc,[{'sub': {}}],8583,8585
χ,"[{'mo': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",8826,8827
d,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",8827,8828
c,"[{'mi': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",8828,8829
=,"[{'mo': {}}, {'tag': 'mathML'}]",8829,8830
C,"[{'mi': {}}, {'numerator': 'mfrac'}, {'tag': 'mathML'}]",8830,8831
T,"[{'mi': {}}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",8831,8832
−,"[{'mo': {}}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",8832,8833
T,"[{'mi': {}}, {'base': 'msub'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",8833,8834
C,"[{'mi': {}}, {'sub': 'msub'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",8834,8835
W,"[{'mi': {}}, {'sub': 'msub'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",8835,8836
CW,[{'sub': {}}],8863,8865
CW,[{'sub': {}}],8974,8976
μ,[{'italic': {}}],9028,9029
eff,[{'sub': {}}],9029,9032
μ,[{'italic': {}}],9055,9056
B,[{'sub': {}}],9056,9057
μ,[{'italic': {}}],9110,9111
B,[{'sub': {}}],9111,9112
15,"[{'xref': {'ref-type': 'bibr', 'rid': 'c15'}}, {'sup': {}}]",9282,9284
μ,[{'italic': {}}],9313,9314
eff,[{'sub': {}}],9314,9317
15,"[{'xref': {'ref-type': 'bibr', 'rid': 'c15'}}, {'sup': {}}]",9347,9349
18,"[{'xref': {'ref-type': 'bibr', 'rid': 'c18'}}, {'sup': {}}]",9629,9631
dc,[{'sub': {}}],9659,9661
−1,[{'sup': {}}],9661,9663
G,[{'sub': {}}],9730,9731
19,"[{'xref': {'ref-type': 'bibr', 'rid': 'c19'}}, {'sup': {}}]",9866,9868
20,"[{'xref': {'ref-type': 'bibr', 'rid': 'c20'}}, {'sup': {}}]",9934,9936
"18,21,22","[{'xref': {'ref-type': 'bibr', 'rid': 'c18 c21 c22'}}, {'sup': {}}]",10042,10050
C,[{'sub': {}}],10128,10129
G,[{'sub': {}}],10141,10142
2,[{'sub': {}}],10229,10230
6,[{'sub': {}}],10235,10236
"23,24","[{'xref': {'ref-type': 'bibr', 'rid': 'c23 c24'}}, {'sup': {}}]",10244,10249
C,[{'sub': {}}],10528,10529
G,[{'sub': {}}],10537,10538
25,"[{'xref': {'ref-type': 'bibr', 'rid': 'c25'}}, {'sup': {}}]",10578,10580
26,"[{'xref': {'ref-type': 'bibr', 'rid': 'c26'}}, {'sup': {}}]",10713,10715
