sec_title,start,end
title,0,154
abstract,154,1084
I. INTRODUCTION,1084,1100
I. INTRODUCTION-0,1100,2831
I. INTRODUCTION-1,2831,3469
I. INTRODUCTION-2,3469,4673
I. INTRODUCTION-3,4673,5015
II. EXPERIMENTAL DETAILS,5015,5040
II. EXPERIMENTAL DETAILS-0,5040,5940
III. RESULTS AND DISCUSSION,5940,5968
A. Structural analysis,5968,5991
A. Structural analysis-0,5991,7666
B. Magnetic property,7666,7687
1. Griffiths-like phase study,7687,7717
1. Griffiths-like phase study-0,7717,10715
1. Griffiths-like phase study-1,10715,11517
1. Griffiths-like phase study-2,11517,12614
1. Griffiths-like phase study-3,12614,13662
2. Isothermal magnetization study in first quadrant,13662,13714
2. Isothermal magnetization study in first quadrant-0,13714,15334
2. Isothermal magnetization study in first quadrant-1,15334,15420
2. Isothermal magnetization study in first quadrant-2,15420,17280
2. Isothermal magnetization study in first quadrant-3,17280,18252
2. Isothermal magnetization study in first quadrant-4,18252,18817
2. Isothermal magnetization study in first quadrant-5,18817,19471
2. Isothermal magnetization study in first quadrant-6,19471,20479
2. Isothermal magnetization study in first quadrant-7,20479,21254
C. Temperature and field dependent transport study,21254,21305
C. Temperature and field dependent transport study-0,21305,22996
C. Temperature and field dependent transport study-1,22996,24099
C. Temperature and field dependent transport study-2,24099,25022
C. Temperature and field dependent transport study-3,25022,25723
IV. CONCLUSIONS,25723,25739
IV. CONCLUSIONS-0,25739,27024
TABLE I. ,27024,27034
TABLE I. -0,27034,27258
TABLE I. -body-0,27258,27766
FIG. 1. ,27766,27775
FIG. 1. -0,27775,28063
FIG. 2. ,28063,28072
FIG. 2. -0,28072,28771
FIG. 3. ,28771,28780
FIG. 3. -0,28780,28947
FIG. 4. ,28947,28956
FIG. 4. -0,28956,29092
FIG. 5. ,29092,29101
FIG. 5. -0,29101,29373
FIG. 6. ,29373,29382
FIG. 6. -0,29382,29820
