word,taglist,start,end
1.5,['sub'],121,124
0.5,['sub'],126,129
6,['sub'],134,135
1.5,['sub'],280,283
0.5,['sub'],285,288
6,['sub'],293,294
G,['sub'],389,390
C,['sub'],606,607
g,['sub'],660,661
M,['sub'],721,722
g,['sub'],863,864
1–3,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c1 c2 c3'}}]",1580,1583
4,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c4'}}]",1785,1786
2−x,['sub'],2011,2014
x,['sub'],2016,2017
6,['sub'],2022,2023
5,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c5'}}]",2122,2123
1.5,['sub'],2293,2296
0.5,['sub'],2298,2301
6,['sub'],2306,2307
A,['sub'],2355,2356
1,['sub'],2419,2420
2,['sub'],2423,2424
"6,7","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c6 c7'}}]",2426,2429
2−x,['sub'],2451,2454
x,['sub'],2456,2457
6,['sub'],2462,2463
A,['sub'],2511,2512
"8,9","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c9'}}]",2605,2608
g,['sub'],2712,2713
2g,['sub'],2744,2746
10,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c10'}}]",2828,2830
4,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c4'}}]",3292,3293
11,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c11'}}]",3466,3468
M,['sub'],3785,3786
"12,13","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c12 c13'}}]",3853,3858
et al.,['italic'],3958,3964
0.17,['sub'],3983,3987
2,['sub'],3989,3990
14,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c14'}}]",4088,4090
M,['sub'],4522,4523
FWHM,['sub'],4557,4561
2,['sub'],4749,4750
6,['sub'],4755,4756
1.5,['sub'],4760,4763
0.5,['sub'],4765,4768
6,['sub'],4773,4774
M,['sub'],4963,4964
1.5,['sub'],5062,5065
0.5,['sub'],5067,5070
6,['sub'],5075,5076
8,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8'}}]",5247,5248
α,['sub'],5384,5385
1(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f1'}}]",5998,6002
1,['sub'],6355,6356
I,"[{'xref': {'ref-type': 'table', 'rid': 't1'}}]",6473,6474
"8,15","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}]",6595,6599
16,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c16'}}]",7066,7068
r,"['mi', 'mrow']",7074,7075
L,['mi'],7075,7076
a,['mi'],7076,7077
r,"['mi', 'mrow']",7079,7080
C,['mi'],7080,7081
a,['mi'],7081,7082
r,"['mi', 'mrow']",7084,7085
M,['mi'],7085,7086
n,['mi'],7086,7087
r,"['mi', 'mrow']",7089,7090
C,['mi'],7090,7091
o,['mi'],7091,7092
r,"['mi', 'mrow']",7098,7099
O,"['mi', 'mrow']",7099,7100
17,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c17'}}]",7239,7241
t,['italic'],7259,7260
6,['sub'],7327,7328
6,['sub'],7336,7337
1(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f1'}}]",7560,7564
6,['sub'],7608,7609
6,['sub'],7617,7618
2(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",7840,7844
C,['sub'],7986,7987
g,['sub'],8077,8078
CAFM,['sub'],8158,8162
g,['sub'],8268,8269
CAFM,['sub'],8275,8279
PHS,['sub'],8284,8287
8,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8'}}]",8421,8422
"8,15","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}]",8495,8499
2(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",8539,8543
dc,['sub'],8582,8584
χ,"['mo', 'mrow']",8825,8826
d,['mi'],8826,8827
c,['mi'],8827,8828
=,['mo'],8828,8829
C,"['mi', 'mrow']",8829,8830
T,['mi'],8830,8831
−,['mo'],8831,8832
T,"['mi', 'mrow']",8832,8833
C,['mi'],8833,8834
W,['mi'],8834,8835
CW,['sub'],8862,8864
CW,['sub'],8973,8975
μ,['italic'],9027,9028
eff,['sub'],9028,9031
μ,['italic'],9054,9055
B,['sub'],9055,9056
μ,['italic'],9109,9110
B,['sub'],9110,9111
15,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c15'}}]",9281,9283
μ,['italic'],9312,9313
eff,['sub'],9313,9316
15,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c15'}}]",9346,9348
18,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c18'}}]",9628,9630
dc,['sub'],9658,9660
−1,['sup'],9660,9662
G,['sub'],9729,9730
19,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c19'}}]",9865,9867
20,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c20'}}]",9933,9935
"18,21,22","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c18 c21 c22'}}]",10041,10049
C,['sub'],10127,10128
G,['sub'],10140,10141
2,['sub'],10228,10229
6,['sub'],10234,10235
"23,24","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c23 c24'}}]",10243,10248
C,['sub'],10527,10528
G,['sub'],10536,10537
25,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c25'}}]",10577,10579
26,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c26'}}]",10712,10714
27,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c27'}}]",10833,10835
T,"['mi', 'mrow']",10841,10842
C,"['mi', 'mrow']",10842,10843
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",10843,10847
2(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",11072,11076
−1,['sup'],11104,11106
(,[{'mo': {'stretchy': 'false'}}],11144,11145
T,['mi'],11145,11146
−,['mo'],11146,11147
T,"['mi', 'mrow']",11147,11148
C,"['mi', 'mrow']",11148,11149
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",11149,11153
),[{'mo': {'stretchy': 'false'}}],11153,11154
T,['mi'],11223,11224
C,"['mi', 'mrow']",11224,11225
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",11225,11229
=,['mo'],11229,11230
153.63,['mn'],11230,11236
K,[{'mi': {'mathvariant': 'normal'}}],11236,11237
C,['sub'],11255,11256
GP,['sub'],11271,11273
T,"['mi', 'mrow']",11315,11316
C,"['mi', 'mrow']",11316,11317
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",11317,11321
G,['sub'],11379,11380
C,['sub'],11490,11491
G,['sub'],11496,11497
T,"['mi', 'mrow']",11503,11504
C,"['mi', 'mrow']",11504,11505
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",11505,11509
ac,['sub'],11594,11596
2(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",11673,11677
C,['sub'],11752,11753
ac,['sub'],11777,11779
g,['sub'],11844,11845
"8,15","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}]",11912,11916
2(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",11935,11939
ac,['sub'],11981,11983
−1,['sup'],11983,11985
dc,['sub'],12097,12099
−1,['sup'],12099,12101
ac,['sub'],12252,12254
−1,['sup'],12254,12256
(2),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd2'}}]",12273,12276
T,"['mi', 'mrow']",12341,12342
C,"['mi', 'mrow']",12342,12343
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",12343,12347
T,"['mi', 'mrow']",12394,12395
C,"['mi', 'mrow']",12395,12396
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",12396,12400
"28,29","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c28 c29'}}]",12709,12714
"8,30","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c30'}}]",13026,13030
C,['sub'],13347,13348
G,['sub'],13355,13356
2,['sub'],13592,13593
6,['sub'],13598,13599
